id,First_Date,Last_Date,Year,Month,DayOfWeek,IsWeekend,Season,Quarter,Title,Artists,Chart_Weeks,Chart_Longevity_Days,Best_Rank,Days_In_Charts,Weeks_Per_Day_Ratio,Quick_Peak_Score,Sustained_Presence,Brief_Appearance,Month_Sin,Month_Cos,DayOfWeek_Sin,DayOfWeek_Cos,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Temporal_Cluster,Temporal_Cluster_Name
0AcicReEGm1qcENjqzh1Tg,2018-11-09,2018-11-14,2018,11,2,0,Fall,4,Love Scars 3,Trippie Redd,6,5,100,5,1.0,14.428571428571429,0,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0AhJag7VI8uFf3mJFsTwvf,2020-03-13,2020-03-14,2020,3,5,1,Spring,1,I Can Show You,Lil Uzi Vert,2,1,60,1,1.0,47.0,0,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,False,True,False,False,1,Spring - Friday Fresh
0Ai6qtPfiEYGCqBGJYWD1W,2018-07-07,2021-07-11,2021,7,6,1,Summer,3,Three Lions,"Baddiel, Skinner & Lightning Seeds",10,1100,33,1100,0.009082652134423252,15.272727272727273,1,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,False,False,True,False,0,Recent Era (2022-2023) - Winter
0AkQbXGN4KG34TS7xLrM68,2020-07-23,2020-07-23,2020,7,3,0,Summer,3,Kiss You,One Direction,1,0,94,0,1.0,53.5,0,1,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,False,False,True,False,5,Early Era (2017-2018) - Summer
0AluA5RNsa4Cx6XRhf2hWZ,2018-11-21,2019-01-24,2019,1,3,0,Winter,1,10 Freaky Girls (with 21 Savage),Metro Boomin,41,64,69,64,0.6307692307692307,3.142857142857143,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,False,False,False,True,2,Viral/Quick Peak - Winter
0AoBY2Y3qs6dtGgOD6c91N,2022-11-14,2022-11-22,2022,11,1,0,Fall,4,Alone,Burna Boy,6,8,155,8,0.6666666666666666,6.571428571428571,0,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0AsAn5cE3aZa99ewol7tv0,2020-12-24,2020-12-24,2020,12,3,0,Winter,4,Rudolph The Red-Nosed Reindeer,Helene Fischer,1,0,174,0,1.0,13.5,0,1,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,False,False,False,True,2,Viral/Quick Peak - Winter
0At2qAoaVjIwWNAqrscXli,2018-06-16,2018-08-16,2018,8,3,0,Summer,3,Boo'd Up,Ella Mai,61,61,56,61,0.9838709677419355,2.338709677419355,1,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,False,False,True,False,5,Early Era (2017-2018) - Summer
0AtP8EkGPn6SwxKDaUuXec,2019-07-12,2019-08-16,2019,8,4,0,Summer,3,Remember The me (feat. Eminem & 50 Cent),Ed Sheeran,36,35,10,35,1.0,5.162162162162162,1,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,False,False,True,False,5,Early Era (2017-2018) - Summer
0AuriGfdxWcFNLBCPMUJ71,2019-09-27,2019-09-27,2019,9,4,0,Fall,3,Hash Hash,SSIO,1,0,133,0,1.0,34.0,0,1,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,True,False,False,False,4,Early Era (2017-2018) - Viral/Quick Peak
0B3FovCVaGKS5w1FTidEUP,2019-07-19,2019-08-01,2019,8,3,0,Summer,3,BROWN SKIN GIRL,"Blue Ivy, SAINt JHN, Beyoncé, WizKid",56,13,69,13,4.0,2.3157894736842106,1,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,False,False,True,False,5,Early Era (2017-2018) - Summer
0B48113ZG9UfkWWt7qD9xX,2017-08-18,2017-08-29,2017,8,1,0,Summer,3,Younger Now,Miley Cyrus,9,11,70,11,0.75,13.1,0,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,False,False,True,False,5,Early Era (2017-2018) - Summer
0B7wvvmu9EISAwZnOpjhNI,2021-03-16,2023-05-29,2023,5,0,0,Spring,2,When I Was Your Man,Bruno Mars,263,804,68,804,0.3267080745341615,0.5037878787878788,1,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,False,True,False,False,1,Spring - Friday Fresh
0B8B8cVRFIG1yznoQe7c9s,2017-01-01,2017-02-17,2017,2,4,0,Winter,1,Setting Fires,"The Chainsmokers, XYLØ",96,47,66,47,2.0,1.3917525773195876,1,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,False,True,2,Viral/Quick Peak - Winter
