Artist (Ind.),total_chart_appearances,average_rank,best_rank,career_start,career_end,career_length_days,top_50_hits,top_50_rate
$NOT,93,149.0215053763441,97,2021-05-28,2022-02-11,259,0.0,0.0
$uicideboy$,50,132.9,82,2021-09-15,2021-11-10,56,0.0,0.0
(G)I-DLE,115,131.23478260869564,50,2018-11-04,2023-05-29,1667,1.0,0.008695652173913044
*NSYNC,29,125.06896551724138,61,2017-12-23,2022-12-25,1828,0.0,0.0
070 Shake,237,56.89873417721519,9,2018-06-16,2023-05-29,1808,142.0,0.5991561181434599
13 Organisé,69,128.40579710144928,85,2020-08-18,2020-10-25,68,0.0,0.0
187 Strassenbande,15,167.53333333333333,99,2017-07-18,2021-05-21,1403,0.0,0.0
2 Chainz,327,128.20795107033638,15,2017-03-19,2019-03-05,716,8.0,0.024464831804281346
21 Savage,2684,83.39381520119225,1,2017-01-01,2023-05-29,2339,991.0,0.36922503725782413
22 Savage,12,179.91666666666666,170,2017-11-18,2017-11-29,11,0.0,0.0
24kGoldn,852,72.35446009389672,1,2019-09-29,2022-05-01,945,347.0,0.4072769953051643
2Pac,7,132.71428571428572,93,2020-06-02,2022-02-19,627,0.0,0.0
347aidan,81,164.17283950617283,87,2020-11-23,2022-07-13,597,0.0,0.0
4*TOWN (From Disney and Pixar's Turning Red),29,150.06896551724137,97,2022-03-19,2022-04-18,30,0.0,0.0
42 Dugg,6,32.333333333333336,17,2021-06-25,2021-06-27,2,6.0,1.0
5 Seconds of Summer,1334,99.523988005997,6,2018-02-23,2020-08-27,916,300.0,0.22488755622188905
50 Cent,75,144.64,50,2022-02-14,2023-03-17,396,3.0,0.04
6LACK,401,90.17456359102245,3,2017-08-06,2021-08-19,1474,152.0,0.3790523690773067
6ix9ine,1215,96.73662551440329,2,2017-11-14,2020-09-23,1044,377.0,0.3102880658436214
88-Keys,2,123.5,65,2019-06-21,2019-06-22,1,0.0,0.0
99 Percent,86,122.68604651162791,84,2017-01-03,2017-03-31,87,0.0,0.0
A Boogie Wit da Hoodie,1050,111.32857142857142,12,2017-04-11,2022-12-09,2068,174.0,0.1657142857142857
A Castela,228,125.73684210526316,31,2022-07-09,2023-04-30,295,4.0,0.017543859649122806
A R I Z O N A,78,131.96153846153845,97,2017-01-10,2017-04-20,100,0.0,0.0
A Touch Of Class,108,100.98148148148148,56,2019-06-07,2019-12-31,207,0.0,0.0
A$AP Ferg,251,106.83266932270917,33,2017-09-18,2020-08-07,1054,30.0,0.11952191235059761
A$AP Mob,1,200.0,200,2017-08-25,2017-08-25,0,0.0,0.0
A$AP Rocky,657,103.84322678843226,14,2017-01-05,2023-03-31,2276,182.0,0.2770167427701674
A-Wall,45,161.53333333333333,126,2021-08-17,2021-10-06,50,0.0,0.0
A7S,731,72.12585499316006,6,2020-03-21,2021-12-31,650,338.0,0.46238030095759236
ABBA,36,130.41666666666666,44,2020-12-31,2023-01-01,731,3.0,0.08333333333333333
ABRA,8,97.75,24,2020-11-27,2020-12-04,7,2.0,0.25
AC/DC,25,149.68,53,2017-10-31,2022-10-31,1826,0.0,0.0
ACRAZE,281,73.62277580071175,6,2021-10-30,2022-12-31,427,150.0,0.5338078291814946
AFROJACK,1,169.0,169,2021-12-31,2021-12-31,0,0.0,0.0
AJ Mitchell,2,159.0,159,2020-12-24,2020-12-25,1,0.0,0.0
AJR,236,97.60169491525424,25,2017-01-01,2022-10-16,2114,71.0,0.3008474576271186
AK AUSSERKONTROLLE,9,158.55555555555554,116,2020-03-27,2020-06-05,70,0.0,0.0
ALMA,1,136.0,136,2017-09-22,2017-09-22,0,0.0,0.0
ANNA,1,137.0,137,2023-01-13,2023-01-13,0,0.0,0.0
