id,Best_Rank,Avg_Rank,Rank_Std,Chart_Weeks,Total_Points,Avg_Points,Title,Artists,First_Date,Last_Date,Chart_Longevity_Days,Peak_Performance,Consistency,Top10_Weeks,Top50_Weeks,Performance_Category,Top10_Rate,Top50_Rate,Worst_Rank,Rank_Range,Volatility_Score,Points_Per_Week,Dominance_Score,Consistency_Score,First_Week_Rank,Last_Week_Rank,Rank_Trajectory,Weeks_To_Peak,Performance_Cluster,Performance_Cluster_Name
01VzuxoBYMAJLObfU0w6dI,195,195.0,0.0,2,12,6.0,ADDICTIONS (FEAT. Tre' Amani),"Brent Faiyaz, Tre' Amani",2022-07-08,2022-07-08,0,6,1.0,0.0,0.0,Moderate Performer,0.0,0.0,195,0,0.0,6.0,6.591673732008658,1.0,195,195,0,1.0,2,Lower-Chart Resident
01dmH2IPkrLNWIMPNXlreE,71,110.83333333333333,35.352039073675314,6,541,90.16666666666667,Paradise,BTS,2018-05-18,2018-05-23,5,130,0.027508773248545493,0.0,0.0,Moderate Performer,0.0,0.0,165,94,0.31896576607827354,90.16666666666667,252.9683193771907,0.027508773248545493,71,165,-94,3.0,1,Strong Performer
01hEpx8jnOG4q7nDK14Rhi,68,121.26415094339623,34.1794759284868,53,4226,79.73584905660377,malibu,sangiovanni,2021-05-14,2021-07-10,57,133,0.02842566506768919,0.0,0.0,Moderate Performer,0.0,0.0,196,128,0.28185968946783885,79.73584905660377,530.5348781930485,0.02842566506768919,177,177,0,26.5,1,Strong Performer
01iuzK2ziYAVE2n9aSXbWp,4,4.0,,1,197,197.0,Hollywood's Bleeding,Post Malone,2019-09-06,2019-09-06,0,197,,0.0,0.0,One-Week Wonder,0.0,0.0,4,0,,197.0,136.54999457030922,,4,4,0,0.5,1,Strong Performer
01k24g94i1JvkFLQmVEdCd,102,152.96666666666667,31.281241854408897,30,1441,48.03333333333333,If You're Over Me,Years & Years,2018-05-11,2018-07-05,55,99,0.030977742569820693,0.0,0.0,Moderate Performer,0.0,0.0,196,94,0.2044971138880512,48.03333333333333,339.9647332440295,0.030977742569820693,145,110,35,15.0,0,Mid-Chart Mainstay
01kOu8BA8yzAHx9LUidTi9,194,194.0,0.0,2,14,7.0,All For Me,"Trippie Redd, Smokepurpp",2019-11-22,2019-11-22,0,7,1.0,0.0,0.0,Moderate Performer,0.0,0.0,194,0,0.0,7.0,7.690286020676768,1.0,194,194,0,1.0,2,Lower-Chart Resident
01kfSdF9zfcDLri5sSWEoL,173,183.5,12.041594578792296,4,70,17.5,RAVE,Dxrk ãƒ€ãƒ¼ã‚¯,2022-09-10,2022-09-18,8,28,0.07667774013050205,0.0,0.0,Moderate Performer,0.0,0.0,199,26,0.06562176882175638,17.5,45.06426154815481,0.07667774013050205,173,187,-14,2.0,0,Mid-Chart Mainstay
01uk7IzZyFNfQTDBXxx6NB,55,121.375,48.816493114520206,16,1274,79.625,One Last Song,Sam Smith,2017-11-03,2017-11-20,17,146,0.020073673144778755,0.0,0.0,Moderate Performer,0.0,0.0,200,145,0.4021956178333282,79.625,413.64914823220755,0.020073673144778755,55,200,-145,8.0,1,Strong Performer
01vR5Z7AHinp9D2wu2BNQS,136,172.75,25.979158313283875,4,113,28.25,UP IN SMOKE,RIN,2019-08-30,2019-09-03,4,65,0.037065648542031225,0.0,0.0,Moderate Performer,0.0,0.0,193,57,0.15038586577877786,28.25,104.61346430821652,0.037065648542031225,136,193,-57,2.0,0,Mid-Chart Mainstay
01vv2AjxgP4uUyb8waYO5Y,28,115.75,63.25866810887731,12,1023,85.25,Morph,Twenty One Pilots,2018-10-05,2018-10-16,11,173,0.015562102817096054,0.0,0.0,Strong Performer,0.0,0.0,200,172,0.5465111715669746,85.25,443.73623884084583,0.015562102817096054,28,200,-172,6.0,1,Strong Performer
01z2fBGB8Hl3Jd3zXe4IXR,50,112.16666666666667,41.57603476363116,6,533,88.83333333333333,Come Back to Earth,Mac Miller,2018-08-03,2018-09-12,40,151,0.023487391570203464,0.0,0.0,Strong Performer,0.0,0.0,163,113,0.37066301423742487,88.83333333333333,293.8324325073523,0.023487391570203464,145,163,-18,3.0,1,Strong Performer
0203aGEIzVVlmvQ8lX4fmV,84,121.5,53.033008588991066,2,159,79.5,Side Piece,Jack Harlow,2022-05-06,2022-05-07,1,117,0.01850720561586024,0.0,0.0,Volatile,0.0,0.0,159,75,0.43648566739910344,79.5,128.53763777416884,0.01850720561586024,84,159,-75,1.0,1,Strong Performer
020wG4EHTwBy5h2rbpxqvK,72,143.85714285714286,32.15792076816952,14,800,57.142857142857146,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,2019-10-31,2019-11-13,13,129,0.030158706481980806,0.0,0.0,Moderate Performer,0.0,0.0,194,122,0.22354066075192316,57.142857142857146,349.3384759421851,0.030158706481980806,72,194,-122,7.0,1,Strong Performer
021lWIHJrURZrmvYQ1xcM8,52,78.25,27.219784471348532,4,491,122.75,All Bad (feat. Lil Uzi Vert),Future,2020-05-15,2020-05-18,3,149,0.03543613173287334,0.0,0.0,Moderate Performer,0.0,0.0,115,63,0.3478566705603646,122.75,239.80624895268093,0.03543613173287334,52,115,-63,2.0,1,Strong Performer
0247StOpd3AkeBQzANX4Zf,8,59.416666666666664,40.42692808011648,132,18689,141.58333333333334,Do They Know It's Christmas? - 1984 Version,Band Aid,2018-11-22,2021-12-26,1130,193,0.024138888552539477,0.0,0.0,Chart Dominator,0.0,0.0,199,191,0.6803971065377248,141.58333333333334,943.8373817467984,0.024138888552539477,199,53,146,66.0,1,Strong Performer
02FaKXXL7KUtRc7K0k54tL,75,127.55555555555556,44.17892911533481,9,661,73.44444444444444,Cozy Little Christmas,Katy Perry,2019-12-23,2022-12-25,1098,126,0.022134212111295397,0.0,0.0,Moderate Performer,0.0,0.0,198,123,0.34635048958015097,73.44444444444444,290.1257217172498,0.022134212111295397,198,118,80,4.5,0,Mid-Chart Mainstay
02LZ1fGJE8fB56yTlCVMEV,82,150.4,40.32424139949126,10,506,50.6,Switch,"Iggy Azalea, Anitta",2017-05-19,2017-05-23,4,119,0.02419887131944571,0.0,0.0,Moderate Performer,0.0,0.0,187,105,0.26811330717746845,50.6,285.34953746300613,0.02419887131944571,82,187,-105,5.0,0,Mid-Chart Mainstay
02MWAaffLxlfxAUY7c5dvx,1,30.86508875739645,30.764289249570066,845,143764,170.13491124260355,Heat Waves,Glass Animals,2020-12-08,2023-04-13,856,200,0.03148189440484758,0.0,0.0,Chart Dominator,0.0,0.0,200,199,0.9967341902490973,170.13491124260355,1348.1038719212445,0.03148189440484758,199,63,136,422.5,3,Volatile Performer
02RCbjb9czvQKNGBmEmWob,49,132.12121212121212,39.781243676949686,33,2273,68.87878787878788,Woah,Lil Baby,2020-02-28,2020-04-08,40,152,0.02452107659887819,0.0,0.0,Strong Performer,0.0,0.0,196,147,0.3010965691145274,68.87878787878788,536.0067997416566,0.02452107659887819,49,195,-146,16.5,1,Strong Performer
02VBYrHfVwfEWXk5DXyf0T,51,139.72131147540983,44.65993526697953,183,11214,61.278688524590166,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2022-03-16,2022-12-31,290,150,0.021901038495846983,0.0,0.0,Moderate Performer,0.0,0.0,200,149,0.31963581500478133,61.278688524590166,782.2403636413479,0.021901038495846983,141,187,-46,91.5,1,Strong Performer
02WacdrRpm4zlP8H7X6bnQ,108,146.52941176470588,24.71303537906784,51,2778,54.470588235294116,Dancing On My Own,Calum Scott,2017-01-01,2017-02-22,52,93,0.03889077991990273,0.0,0.0,Moderate Performer,0.0,0.0,184,76,0.16865580146292786,54.470588235294116,367.46566582807276,0.03889077991990273,146,179,-33,25.5,0,Mid-Chart Mainstay
02dRkCEc8Q5ch4TTcnLxOn,166,169.0,3.4641016151377544,4,128,32.0,Nothing Breaks Like a Heart (feat. Miley Cyrus),"Mark Ronson, Miley Cyrus",2023-01-16,2023-01-17,1,35,0.2240092377397959,0.0,0.0,Moderate Performer,0.0,0.0,172,6,0.020497642693122806,32.0,56.33032693519351,0.2240092377397959,172,166,6,2.0,0,Mid-Chart Mainstay
02itaCXOdC54J0ISjqqFAp,56,100.98148148148148,38.96067939846985,216,21604,100.01851851851852,All Around The World (La La La),"R3HAB, A Touch Of Class",2019-06-07,2019-12-31,207,145,0.02502459955769149,0.0,0.0,Moderate Performer,0.0,0.0,193,137,0.3858200417233398,100.01851851851852,780.0851162633667,0.02502459955769149,154,177,-23,108.0,1,Strong Performer
02jLfqc9gMo8PkHEGHY3OT,43,113.89473684210526,33.67073432417054,38,3310,87.10526315789474,Si Te La Encuentras Por Ahí,Feid,2022-08-05,2022-09-13,39,158,0.028842769543039493,0.0,0.0,Strong Performer,0.0,0.0,192,149,0.2956302921253421,87.10526315789474,578.8427400884841,0.028842769543039493,43,192,-149,19.0,1,Strong Performer
02kDW379Yfd5PzW5A6vuGt,42,56.785714285714285,19.997012763923497,56,8076,144.21428571428572,Lemonade,"Internet Money, Gunna, Don Toliver, NAV",2020-08-14,2020-08-27,13,159,0.047625822360701384,0.0,0.0,Strong Performer,0.0,0.0,112,70,0.3521486524464515,144.21428571428572,642.8451515856935,0.047625822360701384,112,42,70,28.0,1,Strong Performer
02mYw61RoS1vXvkD9Q5dpN,99,141.5,60.10407640085654,2,119,59.5,BLINDFOLD (feat. Lil Baby),Gun,2020-05-22,2020-05-23,1,102,0.016365520254978966,0.0,0.0,Volatile,0.0,0.0,184,85,0.42476379081877413,59.5,112.0584534441472,0.016365520254978966,99,184,-85,1.0,0,Mid-Chart Mainstay
02q0ZnV2L4XByzEvWZJqBC,139,165.5,37.476659402887016,2,71,35.5,Spring Day,BTS,2017-02-13,2017-02-14,1,62,0.02598978226069613,0.0,0.0,Moderate Performer,0.0,0.0,192,53,0.22644507192076746,35.5,68.11396189742281,0.02598978226069613,139,192,-53,1.0,0,Mid-Chart Mainstay
030mot3ZKR3oskfMsqDB2R,69,113.14285714285714,42.11266069101061,7,615,87.85714285714286,Have Yourself A Merry Little Christmas,Judy Garland,2019-12-24,2021-12-25,732,132,0.02319504256921237,0.0,0.0,Moderate Performer,0.0,0.0,191,122,0.37220785964277053,87.85714285714286,274.48628350173834,0.02319504256921237,145,77,68,3.5,1,Strong Performer
0314PeD1sQNonfVWix3B2K,49,113.2,59.98034765873867,20,1756,87.8,ENERGY (feat. Beam),"Beyoncé, BEAM",2022-07-31,2022-08-09,9,152,0.016398725792713596,0.0,0.0,Strong Performer,0.0,0.0,198,149,0.5298617284340872,87.8,462.7674105339603,0.016398725792713596,49,198,-149,10.0,1,Strong Performer
033if6Adj8fwBYsQzHOfQ8,97,133.0,41.569219381653056,4,272,68.0,100k Cash,"Capital Bra, Samra",2020-02-28,2020-02-29,1,104,0.02349115192915637,0.0,0.0,Moderate Performer,0.0,0.0,169,72,0.31255052166656433,68.0,167.38154289314642,0.02349115192915637,97,169,-72,2.0,0,Mid-Chart Mainstay
03B2SfXuvDh1m9F4tqrX07,33,94.97142857142858,42.104551741004485,35,3711,106.02857142857142,Skin,Sabrina Carpenter,2021-01-22,2021-02-25,34,168,0.023199406086126174,0.0,0.0,Strong Performer,0.0,0.0,181,148,0.44333914288061277,106.02857142857142,602.0311816606264,0.023199406086126174,33,181,-148,17.5,1,Strong Performer
03CbQgFxnBFoaaVJTfEqMD,111,111.0,,1,90,90.0,medicine,Bring Me The Horizon,2019-01-04,2019-01-04,0,90,,0.0,0.0,One-Week Wonder,0.0,0.0,111,0,,90.0,62.383246250395075,,111,111,0,0.5,0,Mid-Chart Mainstay
03ERnTvSV5fy8WAyvA4uNP,198,198.0,,1,3,3.0,Big Gangsta,Kevin Gates,2021-04-28,2021-04-28,0,3,,0.0,0.0,One-Week Wonder,0.0,0.0,198,0,,3.0,2.0794415416798357,,198,198,0,0.5,0,Mid-Chart Mainstay
03It1uO69CjGWP3yyVe465,123,156.66666666666666,30.105370506494904,3,133,44.333333333333336,Chun Swae (feat. Swae Lee),Nicki Minaj,2018-08-11,2018-08-13,2,78,0.032148789219250636,0.0,0.0,Moderate Performer,0.0,0.0,181,58,0.19216193940315898,44.333333333333336,108.13096016735146,0.032148789219250636,123,166,-43,1.5,0,Mid-Chart Mainstay
03LfOYi0icz4souspZVVhq,15,74.62264150943396,52.56985426761117,106,13396,126.37735849056604,"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam",2021-07-01,2021-08-22,52,186,0.01866721524020664,0.0,0.0,Strong Performer,0.0,0.0,199,184,0.7044759231816414,126.37735849056604,869.1461632099144,0.01866721524020664,18,190,-172,53.0,1,Strong Performer
03NqHNdG3Ur6kciQWK6e8V,101,155.33333333333334,41.89342219882988,18,822,45.666666666666664,Oh  ,"Myke Towers, Camila Cabello, Tainy",2021-10-29,2021-11-01,3,100,0.023313597953657325,0.0,0.0,Moderate Performer,0.0,0.0,199,98,0.269700142910922,45.666666666666664,294.443897916644,0.023313597953657325,101,199,-98,9.0,0,Mid-Chart Mainstay
03T4ttRCiLXST6MZjeMwmR,69,106.0,31.07785921413077,13,1235,95.0,Orphans,Coldplay,2019-11-22,2019-12-04,12,132,0.031174150161476028,0.0,0.0,Moderate Performer,0.0,0.0,162,93,0.29318735107670535,95.0,348.3555675092141,0.031174150161476028,69,151,-82,6.5,1,Strong Performer
03XfngWwNfhEjrnEga73Rg,175,175.0,,1,26,26.0,"Swivel (with EARTHGANG) - From The Album ""Mirrorland""",Dreamville,2019-07-05,2019-07-05,0,26,,0.0,0.0,One-Week Wonder,0.0,0.0,175,0,,26.0,18.021826694558577,,175,175,0,0.5,0,Mid-Chart Mainstay
03cOUvF1fyW60AuUfUNiDc,93,93.0,,1,108,108.0,Mannschaft (feat. Freeze Corleone),SCH,2021-03-19,2021-03-19,0,108,,0.0,0.0,One-Week Wonder,0.0,0.0,93,0,,108.0,74.8598955004741,,93,93,0,0.5,0,Mid-Chart Mainstay
03eJ2DclFWXYU8GWgANdmZ,70,121.14285714285714,28.588958907742196,21,1677,79.85714285714286,bad vibes forever,"XXXTENTACION, PnB Rock, Trippie Redd",2019-12-06,2019-12-12,6,131,0.033796390171008744,0.0,0.0,Moderate Performer,0.0,0.0,167,97,0.2359937645686266,79.85714285714286,404.9265613899394,0.033796390171008744,70,167,-97,10.5,1,Strong Performer
03fs6oV5JAlbytRYf3371S,43,115.0,43.93176527297759,7,602,86.0,Everything I Love,Morgan Wallen,2023-03-03,2023-03-09,6,158,0.02225596955571674,0.0,0.0,Strong Performer,0.0,0.0,172,129,0.38201535019980515,86.0,328.55176358541405,0.02225596955571674,43,172,-129,3.5,1,Strong Performer
03hqMhmCZiNKMSPmVabPLP,128,132.5,6.363961030678928,2,137,68.5,Groupie Love (feat. A$AP Rocky),Lana Del Rey,2017-07-21,2017-07-22,1,73,0.13579648178933995,0.0,0.0,Moderate Performer,0.0,0.0,137,9,0.04802989457116172,68.5,80.19869707277202,0.13579648178933995,128,137,-9,1.0,0,Mid-Chart Mainstay
03hyZKbj9GWZXD8jALwJA3,57,68.4,8.579044235810885,10,1326,132.6,Metro Spider (with Young Thug),"Metro Boomin, Young Thug",2022-12-02,2022-12-06,4,144,0.1043945487026293,0.0,0.0,Moderate Performer,0.0,0.0,81,24,0.12542462333056847,132.6,345.2969192829654,0.1043945487026293,64,73,-9,5.0,1,Strong Performer
03iCbZaM4OkRR4We6wIzvx,38,130.5185185185185,41.209424064479045,54,3806,70.48148148148148,IDOL,"BTS, Nicki Minaj",2018-08-24,2018-09-19,26,163,0.023691391725042296,0.0,0.0,Strong Performer,0.0,0.0,192,154,0.3157362229684831,70.48148148148148,653.1953091928928,0.023691391725042296,38,184,-146,27.0,1,Strong Performer
03mMSLEJCPoGJwQhHpN5y0,35,109.66666666666667,54.66138185837114,6,548,91.33333333333333,Treat People With Kindness,Harry Styles,2019-12-13,2019-12-18,5,166,0.017965777467481358,0.0,0.0,Strong Performer,0.0,0.0,195,160,0.4984320534197976,91.33333333333333,323.021084743182,0.017965777467481358,35,195,-160,3.0,1,Strong Performer
