Sonic_Cluster,0,1,2,3,4
0,122.7,87.0,171.4,96.2,103.0
1,120.4,78.5,166.4,95.1,102.1
2,126.1,81.4,167.8,90.7,104.2
3,127.7,75.8,171.7,90.3,107.8
4,131.0,72.4,169.3,103.7,109.8
5,120.5,73.8,169.3,102.1,104.0
6,127.1,71.0,169.2,81.0,117.1
